date,credit_to_private_sector
1976-01-01,4246.379
1976-04-01,4559.637
1976-07-01,4838.243
1976-10-01,5087.679
1977-01-01,5282.044
1977-04-01,5436.144
1977-07-01,5567.583
1977-10-01,5619.016
1978-01-01,5817.118
1978-04-01,6158.295
1978-07-01,6472.492
1978-10-01,7664.061
1979-01-01,8013.465
1979-04-01,8370.953
1979-07-01,8892.487
1979-10-01,8930.948
1980-01-01,8989.414
1980-04-01,9684.186
1980-07-01,10457.102
1980-10-01,11195.919
1981-01-01,11607.952
1981-04-01,12437.7
1981-07-01,13553.029
1981-10-01,14529.12
1982-01-01,15320.507
1982-04-01,18390.86
1982-07-01,18187.685
1982-10-01,18835.571
1983-01-01,19472.09
1983-04-01,19607.066
1983-07-01,20750.812
1983-10-01,21736.848
1984-01-01,22924.639
1984-04-01,24093.959
1984-07-01,25635.529
1984-10-01,26729.546
1985-01-01,27472.626
1985-04-01,28687.411
1985-07-01,30450.343
1985-10-01,31996.785
1986-01-01,32736.366
1986-04-01,34776.739
1986-07-01,41887.768
1986-10-01,42818.608
1987-01-01,45613.747
1987-04-01,47912.471
1987-07-01,49150.431
1987-10-01,51792.361
1988-01-01,55787.681
1988-04-01,58384.26
1988-07-01,61744.574
1988-10-01,66588.549
1989-01-01,69057.693
1989-04-01,75155.346
1989-07-01,82485.578
1989-10-01,89323.051
1990-01-01,97253.543
1990-04-01,112557.956
1990-07-01,123348.679
1990-10-01,133163.301
1991-01-01,137051.492
1991-04-01,142579.471
1991-07-01,144341.012
1991-10-01,156429.835
1992-01-01,159896.455
1992-04-01,165973.723
1992-07-01,173681.152
1992-10-01,175515.426
1993-01-01,173923.919
1993-04-01,183125.025
1993-07-01,189308.907
1993-10-01,193648.629
1994-01-01,205218.101
1994-04-01,215176.301
1994-07-01,227253.097
1994-10-01,242010.128
1995-01-01,253059.02
1995-04-01,266442.444
1995-07-01,283649.159
1995-10-01,300592.514
1996-01-01,312815.56
1996-04-01,337795.398
1996-07-01,356904.723
1996-10-01,380499.872
1997-01-01,400073.44
1997-04-01,429006.019
1997-07-01,502034.122
1997-10-01,558292.577
1998-01-01,775484.89
1998-04-01,1125694.533
1998-07-01,906002.895
1998-10-01,759210.712
1999-01-01,644614.017
1999-04-01,437492.263
1999-07-01,487552.803
1999-10-01,404511.88
2000-01-01,400810.847
2000-04-01,436356.218
2000-07-01,443899.684
2000-10-01,471149.924
2001-01-01,495869.028
2001-04-01,525447.644
2001-07-01,484274.826
2001-10-01,491251.202
2002-01-01,471444.476
2002-04-01,461571.689
2002-07-01,485521.423
2002-10-01,508345.481
2003-01-01,517395.706
2003-04-01,511291.408
2003-07-01,532990.425
2003-10-01,562958.491
2004-01-01,558237.257
2004-04-01,639277.533
2004-07-01,659914.678
2004-10-01,706729.849
2005-01-01,745476.147
2005-04-01,802075.341
2005-07-01,856270.996
2005-10-01,858111.634
2006-01-01,832611.735
2006-04-01,879596.878
2006-07-01,912495.59
2006-10-01,963083.789
2007-01-01,973950.842
2007-04-01,977618.018
2007-07-01,1048294.058
2007-10-01,1177290.818
2008-01-01,1225570.79
2008-04-01,1343566.202
2008-07-01,1453349.591
2008-10-01,1537663.014
2009-01-01,1540477.647
2009-04-01,1538189.958
2009-07-01,1560245.388
2009-10-01,1637765.126
2010-01-01,1593835.904
2010-04-01,1755385.804
2010-07-01,1819853.416
2010-10-01,1970186.911
2011-01-01,2000979.437
2011-04-01,2156899.477
2011-07-01,2350369.731
2011-10-01,2512216.965
2012-01-01,2657559.329
2012-04-01,2870754.971
2012-07-01,2986795.757
2012-10-01,3171738.856
2013-01-01,3223152.9
2013-04-01,3449382.247
2013-07-01,3721085.9
2013-10-01,3935961.363
2014-01-01,3923452.695
2014-04-01,4146169.919
2014-07-01,4295311.5
2014-10-01,4450512.703
2015-01-01,4493462.196
2015-04-01,4691826.763
2015-07-01,4842769.106
2015-10-01,4982180.17
2016-01-01,4954165.689
2016-04-01,5082119.172
2016-07-01,5139065.259
2016-10-01,5340061.297
2017-01-01,5322114.019
2017-04-01,5467215.963
2017-07-01,5511296.618
2017-10-01,5700016.938
2018-01-01,5746962.765
2018-04-01,6018563.233
2018-07-01,6237855.496
2018-10-01,6389055.745
2019-01-01,6450395.927
2019-04-01,6591973.646
2019-07-01,6698934.632
2019-10-01,6797716.247
2020-01-01,7138101.369
2020-04-01,6852471.361
2020-07-01,6972065.435
2020-10-01,6822620.844
2021-01-01,6896355.897
2021-04-01,6961082.997
2021-07-01,6958494.183
2021-10-01,7098271.857
2022-01-01,7214895.237
2022-04-01,7592850.189
2022-07-01,7672886.446
2022-10-01,7832203.512
2023-01-01,7776496.985
2023-04-01,7951904.308
2023-07-01,8170800.562
2023-10-01,8365395.85
2024-01-01,8471264.207
2024-04-01,8630339.076
2024-07-01,8517178.226
2024-10-01,8787918.428
2025-01-01,8930990.422
2025-04-01,9024166.475
